'Elapsed time','Direct_1','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','EDF Annotations'
'0:00.091',35.501,-1.600,-3.600,1.700,-5.500,0.680
'0:00.092',37.201,0.000,-3.800,1.800,-5.200,0.680
'0:00.093',38.001,1.500,-4.100,1.400,-5.300,0.680
'0:00.094',37.501,2.300,-4.500,0.800,-5.800,0.680
'0:00.095',36.301,2.300,-5.000,0.300,-6.200,0.680
'0:00.096',35.201,1.400,-5.200,-0.100,-6.200,0.680
'0:00.097',34.801,0.300,-4.800,-0.200,-5.900,0.680
'0:00.098',35.301,-0.400,-3.900,0.000,-5.400,0.680
'0:00.099',36.101,-0.700,-2.800,0.200,-5.100,0.680
'0:00.100',36.401,-0.600,-2.100,0.500,-5.100,0.708
'0:00.101',35.601,-0.400,-2.100,0.900,-5.300,0.708
'0:00.102',33.901,-0.300,-2.900,1.400,-5.300,0.708
'0:00.103',32.100,-0.500,-4.000,2.000,-5.000,0.708
'0:00.104',31.400,-0.700,-5.000,2.700,-4.300,0.708
'0:00.105',32.200,-0.800,-5.400,3.200,-3.700,0.708
'0:00.106',34.201,-0.800,-5.400,3.500,-3.500,0.708
'0:00.107',36.001,-0.600,-5.200,3.300,-3.800,0.708
'0:00.108',36.701,-0.300,-5.400,2.800,-4.600,0.708
'0:00.109',35.501,-0.200,-6.100,2.200,-5.600,0.708
'0:00.110',33.101,-0.100,-7.000,1.500,-6.200,0.579
'0:00.111',30.400,-0.100,-7.900,1.100,-6.300,0.579
'0:00.112',28.800,0.000,-8.400,0.800,-5.800,0.579
'0:00.113',28.800,0.100,-8.300,0.800,-4.800,0.579
'0:00.114',30.700,0.300,-7.700,0.800,-3.700,0.579
'0:00.115',33.801,0.500,-6.900,0.800,-2.900,0.579
'0:00.116',37.301,0.800,-6.000,0.800,-2.400,0.579
'0:00.117',40.401,1.300,-5.300,0.800,-2.300,0.579
'0:00.118',42.101,1.700,-4.700,1.000,-2.400,0.579
'0:00.119',41.801,2.000,-4.200,1.200,-2.300,0.579
'0:00.120',39.301,2.200,-3.700,1.600,-1.800,0.822
'0:00.121',35.301,2.200,-3.100,2.100,-0.800,0.822
'0:00.122',31.100,2.200,-2.400,2.600,0.300,0.822
'0:00.123',28.200,2.400,-1.600,3.000,1.300,0.822
'0:00.124',27.400,2.800,-0.700,3.200,1.600,0.822
'0:00.125',28.400,3.500,0.100,3.200,1.300,0.822
'0:00.126',30.200,4.200,0.600,3.000,0.500,0.822
'0:00.127',31.400,4.500,0.400,2.700,-0.200,0.822
'0:00.128',31.600,4.500,-0.300,2.400,-0.600,0.822
'0:00.129',31.100,4.300,-1.200,2.500,-0.300,0.822
'0:00.130',31.200,4.200,-2.000,2.800,0.300,0.579
'0:00.131',32.801,4.600,-2.300,3.400,1.000,0.579
'0:00.132',35.801,5.400,-2.100,4.000,1.500,0.579
'0:00.133',39.101,6.300,-1.700,4.200,1.600,0.579
'0:00.134',41.301,6.600,-1.500,3.900,1.300,0.579
'0:00.135',41.701,5.900,-1.800,3.400,0.800,0.579
'0:00.136',40.701,4.200,-2.700,2.900,0.200,0.579
'0:00.137',39.301,2.300,-4.000,2.800,-0.100,0.579
'0:00.138',38.801,0.700,-5.200,3.200,-0.300,0.579
'0:00.139',39.301,0.000,-6.200,4.000,-0.100,0.579
'0:00.140',40.101,0.200,-6.900,4.900,0.100,0.668
'0:00.141',40.001,0.700,-7.300,5.300,0.400,0.668
'0:00.142',38.001,0.600,-7.600,5.000,0.600,0.668
'0:00.143',34.601,-0.200,-7.900,4.000,0.700,0.668
'0:00.144',30.900,-1.700,-8.100,2.900,0.700,0.668
'0:00.145',28.800,-3.100,-8.300,1.800,0.500,0.668
'0:00.146',29.400,-4.000,-8.400,1.300,0.400,0.668
'0:00.147',32.600,-4.000,-8.400,1.100,0.300,0.668
'0:00.148',37.001,-3.600,-8.400,1.200,0.300,0.668
'0:00.149',40.501,-3.200,-8.300,1.300,0.400,0.668
'0:00.150',41.701,-3.300,-8.200,1.300,0.800,0.680
'0:00.151',40.301,-3.900,-7.900,1.200,1.100,0.680
'0:00.152',37.401,-4.600,-7.500,1.300,1.200,0.680
'0:00.153',34.801,-5.100,-7.300,1.400,1.100,0.680
'0:00.154',34.001,-5.400,-7.200,1.600,0.500,0.680
'0:00.155',35.401,-5.600,-7.300,1.500,-0.300,0.680
'0:00.156',38.101,-5.900,-7.600,1.100,-1.000,0.680
'0:00.157',41.001,-6.400,-7.800,0.500,-1.400,0.680
'0:00.158',42.701,-7.100,-7.900,0.000,-1.300,0.680
'0:00.159',42.801,-7.600,-8.000,-0.200,-1.100,0.680
'0:00.160',41.601,-7.900,-8.300,-0.100,-1.000,0.692
'0:00.161',39.601,-8.100,-9.100,0.100,-1.300,0.692
'0:00.162',37.501,-8.600,-10.400,0.200,-1.900,0.692
'0:00.163',35.801,-9.300,-12.000,0.300,-2.500,0.692
'0:00.164',34.901,-10.100,-13.300,0.500,-2.300,0.692
'0:00.165',34.801,-10.600,-13.900,1.100,-1.200,0.692
'0:00.166',35.801,-10.500,-13.400,2.400,0.800,0.692
'0:00.167',37.801,-9.600,-12.200,4.000,3.000,0.692
'0:00.168',40.401,-8.500,-10.600,5.600,4.900,0.692
'0:00.169',43.501,-7.400,-9.000,6.800,6.200,0.692
'0:00.170',46.601,-6.700,-7.700,7.500,7.200,0.579
'0:00.171',49.801,-6.300,-6.500,7.900,8.200,0.579
'0:00.172',53.601,-5.900,-5.000,8.300,9.900,0.579
'0:00.173',58.301,-5.000,-3.000,9.100,12.500,0.579
'0:00.174',64.401,-3.500,-0.200,10.500,16.300,0.579
'0:00.175',72.001,-1.400,3.200,12.600,21.100,0.579
'0:00.176',80.801,1.200,6.900,15.200,26.600,0.579
'0:00.177',90.501,4.000,10.600,18.200,32.300,0.579
'0:00.178',100.302,6.900,13.800,21.200,37.601,0.579
'0:00.179',109.502,9.600,16.100,23.700,41.301,0.579
'0:00.180',116.902,11.800,17.200,25.000,42.901,0.822
'0:00.181',121.402,12.900,16.700,24.800,41.801,0.822
'0:00.182',122.202,12.600,15.000,23.000,38.401,0.822
'0:00.183',119.102,10.800,12.300,20.000,33.701,0.822
'0:00.184',112.502,8.100,9.500,16.600,28.600,0.822
'0:00.185',103.502,5.100,6.800,13.400,23.800,0.822
'0:00.186',93.201,2.100,4.500,10.700,19.300,0.822
'0:00.187',82.201,-0.500,2.000,8.300,14.900,0.822
'0:00.188',70.601,-3.100,-1.200,5.800,10.100,0.822
'0:00.189',57.701,-5.900,-5.400,3.000,4.700,0.822
'0:00.190',43.501,-9.100,-10.500,-0.100,-0.700,0.579
'0:00.191',28.200,-12.300,-15.400,-3.000,-5.500,0.579
'0:00.192',13.200,-15.100,-19.200,-5.100,-8.700,0.579
'0:00.193',0.300,-17.000,-21.100,-6.000,-10.100,0.579
'0:00.194',-8.500,-17.700,-21.000,-5.800,-9.800,0.579
'0:00.195',-12.600,-17.400,-19.300,-4.800,-8.400,0.579
'0:00.196',-12.100,-16.500,-17.000,-3.600,-6.600,0.579
'0:00.197',-8.700,-15.600,-14.900,-2.600,-5.100,0.579
'0:00.198',-4.400,-14.900,-13.500,-2.000,-3.900,0.579
'0:00.199',-0.900,-14.800,-12.600,-1.600,-2.800,0.579
'0:00.200',1.500,-14.800,-12.000,-1.200,-1.400,0.668
'0:00.201',3.300,-14.700,-11.100,-0.300,0.500,0.668
'0:00.202',6.000,-14.100,-10.000,1.200,2.700,0.668
'0:00.203',10.600,-12.900,-8.600,3.200,4.700,0.668
'0:00.204',17.100,-11.300,-7.300,5.200,6.300,0.668
'0:00.205',24.300,-9.900,-6.400,6.800,7.200,0.668
'0:00.206',30.600,-9.100,-5.900,7.500,7.600,0.668
'0:00.207',34.401,-9.200,-5.700,7.400,7.700,0.668
'0:00.208',35.501,-10.000,-5.400,6.500,8.000,0.668
'0:00.209',34.901,-11.100,-4.800,5.300,8.200,0.668
'0:00.210',34.201,-12.000,-3.800,4.000,8.300,0.680
'0:00.211',34.801,-12.700,-2.600,3.100,8.000,0.680
'0:00.212',36.601,-13.300,-1.900,2.800,7.300,0.680
'0:00.213',38.801,-14.000,-1.800,2.900,6.700,0.680
'0:00.214',39.901,-15.000,-2.500,3.500,6.500,0.680
'0:00.215',39.001,-16.200,-3.700,4.200,7.000,0.680
'0:00.216',36.701,-17.200,-4.800,4.800,8.100,0.680
'0:00.217',34.401,-17.800,-5.400,5.100,9.300,0.680
'0:00.218',33.801,-17.900,-5.400,5.100,10.200,0.680
'0:00.219',35.701,-17.700,-4.900,4.800,10.600,0.680
'0:00.220',39.301,-17.500,-4.300,4.600,10.600,0.720
'0:00.221',42.901,-17.400,-4.200,4.700,10.800,0.720
'0:00.222',45.001,-17.400,-4.400,5.300,11.500,0.720
'0:00.223',44.701,-17.300,-4.700,6.300,12.500,0.720
'0:00.224',42.601,-16.800,-4.700,7.200,13.600,0.720
'0:00.225',39.901,-16.000,-4.200,7.900,14.500,0.720
'0:00.226',37.901,-15.100,-3.100,8.100,14.900,0.720
'0:00.227',37.001,-14.300,-1.800,8.100,14.900,0.720
'0:00.228',37.001,-13.700,-0.600,8.000,14.800,0.720
'0:00.229',37.501,-13.100,0.300,8.000,14.900,0.720
'0:00.230',37.901,-12.400,0.800,7.900,15.300,0.579
'0:00.231',38.501,-11.500,0.900,7.900,15.600,0.579
'0:00.232',39.501,-10.500,0.700,7.700,15.600,0.579
'0:00.233',40.901,-9.800,0.400,7.400,15.400,0.579
'0:00.234',42.301,-9.900,0.000,6.900,14.900,0.579
'0:00.235',43.401,-10.900,-0.600,6.400,14.500,0.579
'0:00.236',43.501,-12.500,-1.200,6.000,14.400,0.579
'0:00.237',42.701,-14.200,-1.800,5.900,14.500,0.579
'0:00.238',41.201,-15.600,-2.600,6.100,14.700,0.579
'0:00.239',39.701,-16.300,-3.400,6.400,14.800,0.579
'0:00.240',38.601,-16.700,-4.100,6.600,14.600,0.822
'0:00.241',38.301,-17.000,-4.700,6.600,14.000,0.822
'0:00.242',38.801,-17.600,-5.000,6.300,13.100,0.822
'0:00.243',39.801,-18.600,-5.100,5.500,12.100,0.822
'0:00.244',41.101,-19.800,-5.000,4.600,11.200,0.822
'0:00.245',42.101,-20.600,-4.800,3.800,10.700,0.822
'0:00.246',42.601,-21.000,-4.500,3.300,10.500,0.822
'0:00.247',42.401,-20.800,-4.200,3.300,10.700,0.822
'0:00.248',41.501,-20.200,-3.800,3.700,11.000,0.822
'0:00.249',40.401,-19.500,-3.500,4.300,11.200,0.822
'0:00.250',39.701,-19.100,-3.100,4.900,11.200,0.579
'0:00.251',39.501,-19.000,-3.000,5.300,11.000,0.579
'0:00.252',39.801,-19.100,-3.000,5.400,10.600,0.579
'0:00.253',40.001,-19.300,-2.900,5.300,10.300,0.579
'0:00.254',39.501,-19.600,-2.700,5.100,10.200,0.579
'0:00.255',38.201,-19.800,-2.300,4.800,10.300,0.579
'0:00.256',36.401,-19.900,-1.700,4.400,10.500,0.579
'0:00.257',35.301,-19.900,-1.200,4.000,10.800,0.579
'0:00.258',35.801,-19.800,-1.100,3.900,11.100,0.579
'0:00.259',38.001,-19.500,-1.400,4.300,11.400,0.579
'0:00.260',41.201,-18.900,-2.000,5.100,11.800,0.668
'0:00.261',43.901,-17.900,-2.300,6.400,12.200,0.668
'0:00.262',44.701,-16.800,-2.100,7.700,12.700,0.668
'0:00.263',43.301,-15.600,-1.300,8.700,13.200,0.668
'0:00.264',40.501,-14.600,-0.200,9.100,13.400,0.668
'0:00.265',38.001,-13.800,1.000,9.000,13.300,0.668
'0:00.266',37.301,-13.300,1.700,8.500,12.800,0.668
'0:00.267',38.701,-12.900,1.900,8.200,12.100,0.668
'0:00.268',41.501,-12.200,1.600,8.300,11.500,0.668
'0:00.269',43.901,-11.300,1.200,8.800,11.300,0.668
'0:00.270',44.601,-10.100,0.800,9.400,11.400,0.680
'0:00.271',43.001,-8.900,0.600,9.800,11.800,0.680
'0:00.272',40.101,-8.200,0.400,9.900,11.900,0.680
'0:00.273',37.201,-8.000,0.200,9.500,11.600,0.680
'0:00.274',35.701,-8.200,-0.200,9.100,10.900,0.680
'0:00.275',36.001,-8.300,-0.700,8.800,10.100,0.680
'0:00.276',37.701,-7.800,-1.000,9.000,9.400,0.680
'0:00.277',40.101,-6.500,-0.900,9.600,9.200,0.680
'0:00.278',41.901,-4.500,-0.400,10.400,9.500,0.680
'0:00.279',42.701,-2.300,0.400,11.400,9.900,0.680
'0:00.280',42.401,-0.500,1.000,12.200,10.200,0.704
'0:00.281',41.201,0.500,1.100,12.800,10.200,0.704
'0:00.282',39.401,0.800,0.600,13.000,9.900,0.704
'0:00.283',37.501,0.900,-0.300,12.800,9.500,0.704
'0:00.284',35.701,1.000,-1.200,12.300,9.100,0.704
'0:00.285',34.401,1.500,-1.800,11.500,8.800,0.704
'0:00.286',34.001,2.200,-1.900,10.700,8.500,0.704
'0:00.287',34.301,2.700,-1.700,9.800,8.200,0.704
'0:00.288',35.401,2.800,-1.400,9.000,7.900,0.704
'0:00.289',36.701,2.400,-1.500,8.200,7.600,0.704
'0:00.290',37.701,1.900,-1.900,7.500,7.300,0.579
'0:00.291',38.101,1.500,-2.300,7.000,7.100,0.579
'0:00.292',37.901,1.500,-2.500,6.900,6.700,0.579
'0:00.293',37.901,2.100,-2.600,7.300,6.200,0.579
'0:00.294',38.401,3.100,-2.500,8.100,5.400,0.579
'0:00.295',39.901,4.300,-2.700,9.100,4.600,0.579
'0:00.296',41.901,5.500,-3.100,10.100,3.800,0.579
'0:00.297',43.601,6.600,-3.700,10.800,3.300,0.579
'0:00.298',44.001,7.400,-4.200,11.000,3.000,0.579
'0:00.299',42.901,7.800,-4.400,10.800,3.100,0.579
'0:00.300',40.701,7.900,-4.300,10.300,3.400,0.822
'0:00.301',38.601,7.800,-3.900,9.600,3.500,0.822
'0:00.302',37.601,7.500,-3.600,8.800,3.200,0.822
'0:00.303',38.201,7.100,-3.500,7.900,2.500,0.822
'0:00.304',39.501,6.600,-3.400,7.200,1.400,0.822
'0:00.305',40.701,6.000,-3.300,6.700,0.400,0.822
'0:00.306',40.801,5.300,-3.000,6.500,-0.200,0.822
'0:00.307',39.901,4.700,-2.500,6.600,-0.400,0.822
'0:00.308',39.001,4.100,-2.100,6.800,-0.400,0.822
'0:00.309',39.101,3.900,-2.100,7.100,-0.600,0.822
'0:00.310',40.301,4.000,-2.400,7.300,-1.200,0.579
'0:00.311',42.101,4.300,-3.000,7.300,-2.200,0.579
'0:00.312',43.201,4.600,-3.600,7.200,-3.100,0.579
'0:00.313',42.901,4.800,-3.600,7.100,-3.300,0.579
'0:00.314',41.401,4.800,-3.000,6.800,-2.800,0.579
'0:00.315',40.101,4.900,-1.900,6.400,-1.800,0.579
'0:00.316',40.501,5.300,-0.900,5.900,-1.000,0.579
'0:00.317',43.101,5.700,-0.300,5.200,-0.900,0.579
'0:00.318',47.001,6.100,-0.300,4.600,-1.400,0.579
'0:00.319',50.401,6.200,-0.900,4.200,-2.100,0.579
'0:00.320',51.701,6.000,-1.600,4.000,-2.400,0.668
'0:00.321',50.201,5.800,-2.000,4.000,-2.100,0.668
'0:00.322',47.201,5.600,-2.000,4.000,-1.100,0.668
'0:00.323',44.601,5.800,-1.600,3.900,0.000,0.668
'0:00.324',43.901,6.300,-1.100,3.700,0.900,0.668
'0:00.325',45.401,6.700,-0.700,3.400,1.300,0.668
'0:00.326',47.901,7.000,-0.600,3.100,1.300,0.668
'0:00.327',49.701,7.100,-0.600,2.900,1.300,0.668
'0:00.328',49.301,7.000,-0.600,2.900,1.300,0.668
'0:00.329',46.901,7.200,-0.600,3.200,1.500,0.668
'0:00.330',43.501,7.700,-0.500,3.500,1.800,0.680
'0:00.331',41.201,8.600,-0.400,4.100,2.000,0.680
'0:00.332',40.901,9.800,-0.300,4.600,1.900,0.680
'0:00.333',42.901,11.000,0.100,5.100,1.700,0.680
'0:00.334',45.901,11.900,0.600,5.200,1.300,0.680
'0:00.335',48.401,12.400,1.500,5.100,0.800,0.680
'0:00.336',49.501,12.400,2.400,4.600,0.400,0.680
'0:00.337',49.101,12.000,3.200,4.000,0.300,0.680
'0:00.338',48.001,11.300,3.700,3.500,0.400,0.680
'0:00.339',47.201,10.500,3.800,3.300,0.500,0.680
'0:00.340',47.501,9.700,3.500,3.200,0.200,0.692
'0:00.341',48.901,9.100,2.800,3.100,-0.700,0.692
'0:00.342',50.801,8.500,1.600,2.800,-2.100,0.692
'0:00.343',52.401,7.800,-0.300,2.300,-3.700,0.692
'0:00.344',52.901,6.900,-2.700,1.800,-4.900,0.692
'0:00.345',52.001,6.000,-5.200,1.500,-5.000,0.692
'0:00.346',50.101,5.400,-7.300,1.500,-4.200,0.692
'0:00.347',47.501,5.300,-8.400,1.700,-2.800,0.692
'0:00.348',45.401,5.800,-8.400,1.900,-1.700,0.692
'0:00.349',44.501,6.600,-7.500,1.700,-1.400,0.692
'0:00.350',45.301,7.300,-6.400,1.000,-2.000,0.579
'0:00.351',47.701,7.600,-5.900,-0.200,-3.200,0.579
'0:00.352',50.401,7.300,-6.300,-1.400,-4.300,0.579
'0:00.353',52.301,6.600,-7.500,-2.100,-4.800,0.579
'0:00.354',52.201,6.000,-9.100,-2.200,-4.700,0.579
'0:00.355',50.301,5.700,-10.700,-1.600,-4.200,0.579
'0:00.356',47.501,5.800,-11.800,-0.700,-3.900,0.579
'0:00.357',45.301,6.100,-12.500,0.000,-4.100,0.579
'0:00.358',44.701,6.000,-12.800,0.400,-4.700,0.579
'0:00.359',45.901,5.300,-13.000,0.200,-5.500,0.579
'0:00.360',47.701,4.100,-12.900,-0.200,-6.000,0.822
'0:00.361',49.101,2.800,-12.800,-0.500,-6.100,0.822
'0:00.362',49.001,1.900,-12.400,-0.500,-5.800,0.822
'0:00.363',47.401,1.700,-11.800,-0.100,-5.500,0.822
'0:00.364',45.401,2.000,-11.100,0.400,-5.400,0.822
'0:00.365',43.901,2.500,-10.500,1.000,-5.500,0.822
'0:00.366',43.901,2.800,-9.900,1.300,-5.700,0.822
'0:00.367',45.601,3.000,-9.400,1.500,-5.700,0.822
'0:00.368',48.401,3.000,-8.800,1.700,-5.500,0.822
'0:00.369',51.001,3.200,-8.200,1.800,-5.100,0.822
'0:00.370',52.301,3.600,-7.800,1.800,-4.700,0.579
'0:00.371',51.701,4.000,-7.900,1.700,-4.500,0.579
'0:00.372',49.601,4.100,-8.400,1.500,-4.500,0.579
'0:00.373',47.301,3.800,-9.400,1.200,-4.800,0.579
'0:00.374',46.101,3.300,-10.400,1.000,-5.400,0.579
'0:00.375',46.501,2.900,-11.300,0.800,-6.200,0.579
'0:00.376',48.001,3.000,-11.700,0.800,-7.100,0.579
'0:00.377',49.201,3.500,-11.700,0.800,-7.900,0.579
'0:00.378',48.901,4.400,-11.400,0.900,-8.200,0.579
'0:00.379',47.201,5.200,-10.800,1.200,-8.200,0.579
'0:00.380',45.701,5.900,-9.800,1.800,-7.900,0.668
'0:00.381',45.801,6.500,-8.600,2.500,-7.600,0.668
'0:00.382',48.001,7.000,-7.100,3.100,-7.700,0.668
'0:00.383',51.001,7.500,-5.700,3.100,-8.100,0.668
'0:00.384',52.601,7.900,-4.900,2.500,-8.600,0.668
'0:00.385',51.501,8.000,-5.000,1.300,-8.800,0.668
'0:00.386',48.201,7.700,-5.800,-0.100,-8.600,0.668
'0:00.387',45.001,7.200,-7.000,-1.200,-8.000,0.668
'0:00.388',44.401,6.700,-8.100,-1.600,-7.300,0.668
'0:00.389',46.601,6.300,-8.700,-1.200,-7.000,0.668
'0:00.390',49.801,6.200,-8.800,-0.400,-7.200,0.680
'0:00.391',51.201,6.300,-8.500,0.600,-7.700,0.680
'0:00.392',49.301,6.400,-8.200,1.400,-8.100,0.680
'0:00.393',45.001,6.400,-7.700,1.800,-8.300,0.680
'0:00.394',41.301,6.200,-7.000,1.700,-8.000,0.680
'0:00.395',40.501,6.000,-6.200,1.200,-7.500,0.680
'0:00.396',42.701,5.800,-5.200,0.500,-7.000,0.680
'0:00.397',45.801,5.600,-4.400,-0.400,-6.600,0.680
'0:00.398',47.001,5.700,-4.000,-1.200,-6.300,0.680
'0:00.399',45.001,5.900,-4.100,-1.400,-6.000,0.680
'0:00.400',41.201,6.300,-4.400,-0.900,-5.500,0.720
'0:00.401',38.401,6.700,-4.400,0.000,-5.000,0.720
'0:00.402',38.701,6.800,-4.100,1.200,-4.500,0.720
'0:00.403',42.001,6.500,-3.500,2.000,-4.300,0.720
'0:00.404',46.101,5.600,-2.900,2.000,-4.600,0.720
'0:00.405',48.501,4.500,-2.700,1.500,-5.300,0.720
'0:00.406',48.401,3.500,-3.400,0.800,-6.100,0.720
'0:00.407',46.601,3.100,-4.700,0.300,-6.700,0.720
'0:00.408',44.801,3.300,-6.600,0.400,-6.800,0.720
'0:00.409',44.301,4.100,-8.400,0.900,-6.500,0.720
'0:00.410',44.801,5.000,-9.600,1.500,-5.800,0.579
'0:00.411',45.601,5.700,-10.000,1.800,-5.200,0.579
'0:00.412',46.001,5.800,-9.700,1.600,-5.100,0.579
'0:00.413',46.101,5.600,-9.000,1.100,-5.500,0.579
'0:00.414',46.301,5.200,-8.400,0.800,-6.400,0.579
'0:00.415',47.001,4.800,-8.300,0.900,-7.500,0.579
'0:00.416',47.801,4.600,-9.000,1.300,-8.100,0.579
'0:00.417',47.901,4.300,-10.000,1.800,-8.200,0.579
'0:00.418',47.101,4.000,-10.900,2.000,-7.700,0.579
