'Elapsed time','Abdomen_1'
'0:00.404',5.600
'0:00.405',4.500
'0:00.406',3.500
'0:00.407',3.100
'0:00.408',3.300
'0:00.409',4.100
'0:00.410',5.000
'0:00.411',5.700
'0:00.412',5.800
'0:00.413',5.600
'0:00.414',5.200
'0:00.415',4.800
'0:00.416',4.600
'0:00.417',4.300
'0:00.418',4.000
'0:00.419',3.800
'0:00.420',3.900
'0:00.421',4.500
'0:00.422',5.600
'0:00.423',6.900
'0:00.424',8.000
'0:00.425',8.500
'0:00.426',8.300
'0:00.427',7.700
'0:00.428',7.100
'0:00.429',6.900
'0:00.430',7.000
'0:00.431',7.200
'0:00.432',7.100
'0:00.433',6.400
'0:00.434',5.300
'0:00.435',4.100
'0:00.436',3.300
'0:00.437',3.200
'0:00.438',3.700
'0:00.439',4.600
'0:00.440',5.600
'0:00.441',6.300
'0:00.442',6.700
'0:00.443',6.700
'0:00.444',6.700
'0:00.445',6.800
'0:00.446',7.100
'0:00.447',7.800
'0:00.448',8.600
'0:00.449',9.500
'0:00.450',10.200
'0:00.451',10.700
'0:00.452',11.100
'0:00.453',11.600
'0:00.454',12.200
'0:00.455',12.900
'0:00.456',13.300
'0:00.457',13.000
'0:00.458',12.200
'0:00.459',10.800
'0:00.460',9.600
'0:00.461',8.900
'0:00.462',8.700
'0:00.463',9.100
'0:00.464',9.400
'0:00.465',9.300
'0:00.466',8.600
'0:00.467',7.600
'0:00.468',6.700
'0:00.469',6.200
'0:00.470',6.200
'0:00.471',6.400
'0:00.472',6.500
'0:00.473',6.300
'0:00.474',5.700
'0:00.475',4.900
'0:00.476',4.100
'0:00.477',3.500
'0:00.478',3.200
'0:00.479',3.200
'0:00.480',3.400
'0:00.481',3.600
'0:00.482',3.800
'0:00.483',3.800
'0:00.484',3.800
'0:00.485',3.700
'0:00.486',3.600
'0:00.487',3.500
'0:00.488',3.400
'0:00.489',3.100
'0:00.490',2.700
'0:00.491',2.300
'0:00.492',2.100
'0:00.493',2.600
'0:00.494',3.600
'0:00.495',4.800
'0:00.496',5.900
'0:00.497',6.400
'0:00.498',6.100
'0:00.499',5.400
'0:00.500',4.700
'0:00.501',4.300
'0:00.502',4.200
'0:00.503',4.400
'0:00.504',4.300
'0:00.505',3.900
'0:00.506',3.400
'0:00.507',2.900
'0:00.508',2.900
'0:00.509',3.400
'0:00.510',4.200
'0:00.511',5.000
'0:00.512',5.600
'0:00.513',6.000
'0:00.514',6.100
'0:00.515',6.100
'0:00.516',6.100
'0:00.517',6.200
'0:00.518',6.400
'0:00.519',6.400
'0:00.520',6.300
'0:00.521',5.700
'0:00.522',4.500
'0:00.523',3.000
'0:00.524',1.400
'0:00.525',0.300
'0:00.526',0.100
'0:00.527',0.600
'0:00.528',1.600
'0:00.529',2.600
'0:00.530',3.200
'0:00.531',3.400
'0:00.532',3.400
'0:00.533',3.500
'0:00.534',3.700
'0:00.535',3.800
'0:00.536',3.500
'0:00.537',2.800
'0:00.538',1.900
'0:00.539',1.200
'0:00.540',1.100
'0:00.541',1.600
'0:00.542',2.600
'0:00.543',3.600
'0:00.544',4.500
'0:00.545',5.100
'0:00.546',5.700
'0:00.547',6.400
'0:00.548',7.300
'0:00.549',8.500
'0:00.550',9.600
'0:00.551',10.200
'0:00.552',10.100
'0:00.553',9.100
'0:00.554',7.500
'0:00.555',5.900
'0:00.556',4.600
'0:00.557',4.000
'0:00.558',3.900
'0:00.559',4.100
'0:00.560',4.000
'0:00.561',3.500
'0:00.562',2.600
'0:00.563',1.700
'0:00.564',1.100
'0:00.565',0.800
'0:00.566',0.600
'0:00.567',0.300
'0:00.568',-0.400
'0:00.569',-1.100
'0:00.570',-1.800
'0:00.571',-1.900
'0:00.572',-1.600
'0:00.573',-1.000
'0:00.574',-0.400
'0:00.575',-0.100
'0:00.576',-0.300
'0:00.577',-0.900
'0:00.578',-1.700
'0:00.579',-2.400
'0:00.580',-2.800
'0:00.581',-2.900
'0:00.582',-2.600
'0:00.583',-2.000
'0:00.584',-1.200
'0:00.585',-0.700
'0:00.586',-0.700
'0:00.587',-1.000
'0:00.588',-1.500
'0:00.589',-1.900
'0:00.590',-1.800
'0:00.591',-1.400
'0:00.592',-0.700
'0:00.593',-0.200
'0:00.594',0.000
'0:00.595',-0.100
'0:00.596',-0.200
'0:00.597',-0.200
'0:00.598',0.100
'0:00.599',0.400
'0:00.600',0.800
'0:00.601',1.000
'0:00.602',1.100
'0:00.603',1.300
'0:00.604',1.600
'0:00.605',2.000
'0:00.606',2.200
'0:00.607',2.400
'0:00.608',2.500
'0:00.609',2.500
'0:00.610',2.600
'0:00.611',2.800
'0:00.612',2.900
'0:00.613',3.000
'0:00.614',3.000
'0:00.615',3.100
'0:00.616',3.400
'0:00.617',3.700
'0:00.618',4.000
'0:00.619',4.100
'0:00.620',3.700
'0:00.621',3.000
'0:00.622',2.200
'0:00.623',1.700
'0:00.624',1.600
'0:00.625',2.000
'0:00.626',2.800
'0:00.627',3.600
'0:00.628',4.100
'0:00.629',4.100
'0:00.630',3.500
'0:00.631',2.400
'0:00.632',1.100
'0:00.633',0.000
'0:00.634',-0.500
'0:00.635',-0.300
'0:00.636',0.500
'0:00.637',1.500
'0:00.638',2.400
'0:00.639',3.000
'0:00.640',3.500
'0:00.641',4.100
'0:00.642',5.200
'0:00.643',7.100
'0:00.644',10.000
'0:00.645',13.500
'0:00.646',17.300
'0:00.647',20.500
'0:00.648',22.500
'0:00.649',22.600
'0:00.650',20.900
'0:00.651',18.000
'0:00.652',14.700
'0:00.653',11.900
'0:00.654',10.200
'0:00.655',9.300
'0:00.656',8.500
'0:00.657',7.200
'0:00.658',5.100
'0:00.659',2.300
'0:00.660',-0.500
'0:00.661',-2.600
'0:00.662',-3.600
'0:00.663',-3.300
'0:00.664',-2.200
'0:00.665',-0.500
'0:00.666',1.300
'0:00.667',3.300
'0:00.668',5.300
'0:00.669',7.200
'0:00.670',8.900
'0:00.671',10.000
'0:00.672',10.400
'0:00.673',10.100
'0:00.674',9.200
'0:00.675',8.400
'0:00.676',8.200
'0:00.677',9.000
'0:00.678',10.800
'0:00.679',13.300
'0:00.680',15.900
'0:00.681',17.900
'0:00.682',19.000
'0:00.683',19.300
'0:00.684',19.200
'0:00.685',19.000
'0:00.686',18.700
'0:00.687',18.100
'0:00.688',16.700
'0:00.689',14.100
'0:00.690',10.300
'0:00.691',5.600
'0:00.692',0.800
'0:00.693',-3.900
'0:00.694',-8.300
'0:00.695',-12.400
'0:00.696',-16.600
'0:00.697',-21.000
'0:00.698',-25.600
'0:00.699',-30.400
'0:00.700',-35.201
'0:00.701',-40.101
'0:00.702',-44.801
'0:00.703',-49.501
'0:00.704',-53.801
'0:00.705',-57.501
'0:00.706',-60.301
'0:00.707',-62.001
'0:00.708',-62.601
'0:00.709',-62.201
'0:00.710',-61.101
'0:00.711',-59.701
'0:00.712',-58.001
'0:00.713',-56.101
'0:00.714',-53.801
'0:00.715',-51.001
'0:00.716',-47.301
'0:00.717',-42.701
'0:00.718',-37.301
'0:00.719',-31.500
'0:00.720',-25.600
'0:00.721',-20.200
'0:00.722',-15.600
'0:00.723',-12.100
'0:00.724',-9.700
'0:00.725',-8.000
'0:00.726',-6.800
'0:00.727',-5.800
'0:00.728',-4.800
'0:00.729',-3.800
'0:00.730',-3.000
'0:00.731',-2.300
'0:00.732',-2.000
'0:00.733',-1.900
'0:00.734',-2.200
'0:00.735',-2.400
'0:00.736',-2.600
'0:00.737',-2.600
'0:00.738',-2.300
'0:00.739',-1.800
'0:00.740',-1.100
'0:00.741',-0.600
'0:00.742',-0.100
'0:00.743',0.200
'0:00.744',0.400
'0:00.745',0.700
'0:00.746',1.100
'0:00.747',1.400
'0:00.748',1.700
'0:00.749',1.900
'0:00.750',1.900
'0:00.751',1.900
'0:00.752',2.100
'0:00.753',2.600
'0:00.754',3.400
'0:00.755',4.300
'0:00.756',5.100
'0:00.757',5.500
'0:00.758',5.500
'0:00.759',5.100
'0:00.760',4.600
'0:00.761',4.100
'0:00.762',3.600
'0:00.763',3.100
'0:00.764',2.700
'0:00.765',2.400
'0:00.766',2.400
'0:00.767',2.600
'0:00.768',3.000
'0:00.769',3.400
'0:00.770',3.500
'0:00.771',3.300
'0:00.772',2.800
'0:00.773',2.300
'0:00.774',2.100
'0:00.775',2.500
'0:00.776',3.300
'0:00.777',4.600
'0:00.778',6.000
'0:00.779',7.200
'0:00.780',8.200
'0:00.781',8.800
'0:00.782',9.000
'0:00.783',9.000
'0:00.784',8.700
'0:00.785',8.200
'0:00.786',7.600
'0:00.787',6.700
'0:00.788',5.700
'0:00.789',4.500
'0:00.790',3.200
'0:00.791',1.900
'0:00.792',0.800
'0:00.793',0.200
'0:00.794',0.200
'0:00.795',0.700
'0:00.796',1.400
'0:00.797',1.900
'0:00.798',1.900
'0:00.799',1.500
'0:00.800',0.900
'0:00.801',0.500
'0:00.802',0.400
'0:00.803',0.700
'0:00.804',1.000
'0:00.805',0.900
'0:00.806',0.500
'0:00.807',-0.200
'0:00.808',-0.600
'0:00.809',-0.400
'0:00.810',0.500
'0:00.811',1.800
'0:00.812',3.100
'0:00.813',3.800
'0:00.814',3.900
'0:00.815',3.400
'0:00.816',2.700
'0:00.817',2.100
'0:00.818',1.900
'0:00.819',1.900
'0:00.820',2.100
'0:00.821',2.300
'0:00.822',2.300
'0:00.823',2.100
'0:00.824',1.700
'0:00.825',1.400
'0:00.826',1.400
'0:00.827',1.600
'0:00.828',2.000
'0:00.829',2.000
'0:00.830',1.500
'0:00.831',0.300
'0:00.832',-1.100
'0:00.833',-2.400
'0:00.834',-2.800
'0:00.835',-2.400
'0:00.836',-1.300
'0:00.837',-0.100
'0:00.838',0.400
'0:00.839',-0.100
'0:00.840',-1.500
'0:00.841',-3.100
'0:00.842',-4.400
'0:00.843',-4.900
'0:00.844',-4.800
'0:00.845',-4.400
'0:00.846',-4.100
'0:00.847',-4.300
'0:00.848',-4.900
'0:00.849',-5.700
'0:00.850',-6.300
'0:00.851',-6.500
'0:00.852',-6.100
'0:00.853',-5.400
'0:00.854',-4.700
'0:00.855',-4.300
'0:00.856',-4.400
'0:00.857',-5.100
'0:00.858',-6.200
'0:00.859',-7.000
'0:00.860',-7.400
'0:00.861',-7.100
'0:00.862',-6.400
'0:00.863',-5.700
'0:00.864',-5.600
'0:00.865',-6.200
'0:00.866',-7.300
'0:00.867',-8.600
'0:00.868',-9.600
'0:00.869',-9.900
'0:00.870',-9.800
'0:00.871',-9.300
'0:00.872',-8.800
'0:00.873',-8.600
'0:00.874',-8.800
'0:00.875',-9.100
'0:00.876',-9.300
'0:00.877',-9.400
'0:00.878',-9.100
'0:00.879',-8.700
'0:00.880',-8.400
'0:00.881',-8.500
'0:00.882',-9.200
'0:00.883',-10.400
'0:00.884',-11.700
'0:00.885',-12.500
'0:00.886',-12.500
'0:00.887',-11.700
'0:00.888',-10.400
'0:00.889',-9.000
'0:00.890',-8.000
'0:00.891',-7.500
'0:00.892',-7.600
'0:00.893',-7.800
'0:00.894',-8.100
'0:00.895',-8.400
'0:00.896',-9.000
'0:00.897',-10.100
'0:00.898',-11.600
'0:00.899',-13.500
'0:00.900',-15.400
'0:00.901',-16.700
'0:00.902',-17.400
'0:00.903',-17.500
'0:00.904',-17.300
'0:00.905',-17.200
'0:00.906',-17.100
'0:00.907',-17.100
'0:00.908',-17.200
'0:00.909',-17.300
'0:00.910',-17.600
'0:00.911',-18.300
'0:00.912',-19.200
'0:00.913',-20.200
'0:00.914',-20.800
'0:00.915',-20.800
'0:00.916',-20.500
'0:00.917',-20.300
'0:00.918',-20.400
'0:00.919',-21.100
'0:00.920',-22.000
'0:00.921',-22.500
'0:00.922',-22.400
'0:00.923',-21.700
'0:00.924',-20.700
'0:00.925',-20.000
'0:00.926',-20.000
'0:00.927',-20.500
'0:00.928',-21.200
'0:00.929',-21.700
'0:00.930',-21.700
'0:00.931',-21.300
'0:00.932',-20.900
'0:00.933',-20.700
'0:00.934',-21.000
'0:00.935',-21.800
'0:00.936',-22.700
'0:00.937',-23.400
'0:00.938',-23.500
'0:00.939',-22.900
'0:00.940',-22.100
'0:00.941',-21.500
'0:00.942',-21.400
'0:00.943',-21.700
'0:00.944',-22.300
'0:00.945',-22.700
'0:00.946',-22.600
'0:00.947',-21.900
'0:00.948',-20.900
'0:00.949',-19.900
'0:00.950',-19.000
'0:00.951',-18.200
'0:00.952',-17.500
'0:00.953',-16.900
'0:00.954',-16.400
'0:00.955',-16.300
'0:00.956',-16.300
'0:00.957',-16.300
'0:00.958',-15.900
'0:00.959',-14.800
'0:00.960',-13.400
'0:00.961',-12.000
'0:00.962',-10.900
'0:00.963',-10.500
'0:00.964',-10.400
'0:00.965',-10.300
'0:00.966',-9.700
'0:00.967',-8.700
'0:00.968',-7.400
'0:00.969',-6.400
'0:00.970',-5.900
'0:00.971',-6.000
'0:00.972',-6.400
'0:00.973',-6.500
'0:00.974',-6.100
'0:00.975',-5.200
'0:00.976',-4.000
'0:00.977',-2.600
'0:00.978',-1.200
'0:00.979',0.200
'0:00.980',1.600
'0:00.981',2.900
'0:00.982',4.000
'0:00.983',4.800
'0:00.984',5.100
'0:00.985',4.900
'0:00.986',4.300
'0:00.987',3.400
'0:00.988',2.500
'0:00.989',1.800
'0:00.990',1.500
'0:00.991',1.800
'0:00.992',2.500
'0:00.993',3.600
'0:00.994',4.500
'0:00.995',5.000
'0:00.996',4.800
'0:00.997',4.100
'0:00.998',3.200
'0:00.999',2.500
'0:01.000',2.100
'0:01.001',2.000
'0:01.002',2.300
'0:01.003',2.700
'0:01.004',3.300
'0:01.005',4.100
'0:01.006',5.000
'0:01.007',6.200
'0:01.008',7.400
'0:01.009',8.500
'0:01.010',9.100
'0:01.011',9.200
'0:01.012',8.700
'0:01.013',7.400
'0:01.014',5.700
'0:01.015',3.800
'0:01.016',2.200
'0:01.017',1.200
'0:01.018',0.900
'0:01.019',1.200
'0:01.020',1.700
'0:01.021',2.000
'0:01.022',2.000
'0:01.023',1.600
'0:01.024',1.200
'0:01.025',1.000
'0:01.026',1.100
'0:01.027',1.600
'0:01.028',2.300
'0:01.029',3.200
'0:01.030',4.100
'0:01.031',4.500
'0:01.032',4.500
'0:01.033',4.000
'0:01.034',3.000
'0:01.035',1.900
'0:01.036',0.900
'0:01.037',0.100
'0:01.038',-0.300
'0:01.039',-0.400
'0:01.040',-0.300
'0:01.041',0.300
'0:01.042',1.100
'0:01.043',2.100
'0:01.044',3.100
'0:01.045',3.600
'0:01.046',3.700
'0:01.047',3.500
'0:01.048',3.400
'0:01.049',3.700
'0:01.050',4.400
'0:01.051',5.500
'0:01.052',6.400
'0:01.053',6.800
'0:01.054',6.700
'0:01.055',6.300
'0:01.056',5.900
'0:01.057',5.900
'0:01.058',6.300
'0:01.059',6.900
'0:01.060',7.500
'0:01.061',7.900
'0:01.062',8.000
'0:01.063',7.800
'0:01.064',7.400
'0:01.065',6.900
'0:01.066',6.500
'0:01.067',6.100
'0:01.068',5.800
'0:01.069',5.700
'0:01.070',5.700
'0:01.071',5.900
'0:01.072',6.100
'0:01.073',6.400
'0:01.074',6.800
'0:01.075',7.100
'0:01.076',7.400
'0:01.077',7.500
'0:01.078',7.300
'0:01.079',7.000
'0:01.080',6.700
'0:01.081',6.600
'0:01.082',6.700
'0:01.083',7.100
'0:01.084',7.500
'0:01.085',7.800
'0:01.086',7.800
'0:01.087',7.600
'0:01.088',7.000
'0:01.089',6.300
'0:01.090',5.500
'0:01.091',4.800
'0:01.092',4.200
'0:01.093',4.000
'0:01.094',4.000
'0:01.095',4.300
'0:01.096',4.400
'0:01.097',4.200
'0:01.098',3.700
'0:01.099',3.000
'0:01.100',2.400
'0:01.101',2.300
'0:01.102',2.700
'0:01.103',3.500
'0:01.104',4.500
'0:01.105',5.400
'0:01.106',6.200
'0:01.107',7.300
'0:01.108',9.000
'0:01.109',11.700
'0:01.110',15.200
'0:01.111',19.300
'0:01.112',23.400
'0:01.113',27.000
'0:01.114',29.600
'0:01.115',30.800
'0:01.116',30.600
'0:01.117',29.100
'0:01.118',26.400
'0:01.119',23.200
'0:01.120',19.800
'0:01.121',16.600
'0:01.122',13.700
'0:01.123',11.100
'0:01.124',8.400
'0:01.125',5.700
'0:01.126',3.000
'0:01.127',0.600
'0:01.128',-1.300
'0:01.129',-2.400
'0:01.130',-2.600
'0:01.131',-2.000
'0:01.132',-0.900
'0:01.133',0.700
'0:01.134',2.500
'0:01.135',4.000
'0:01.136',5.000
'0:01.137',5.300
'0:01.138',4.900
'0:01.139',4.300
'0:01.140',3.700
'0:01.141',3.400
'0:01.142',3.500
'0:01.143',4.000
'0:01.144',4.600
'0:01.145',5.100
'0:01.146',5.500
'0:01.147',5.600
'0:01.148',5.400
'0:01.149',5.100
'0:01.150',4.700
'0:01.151',4.400
'0:01.152',4.300
'0:01.153',4.400
'0:01.154',4.600
'0:01.155',4.700
'0:01.156',4.600
'0:01.157',4.500
'0:01.158',4.500
'0:01.159',4.800
'0:01.160',5.500
'0:01.161',6.200
'0:01.162',6.800
'0:01.163',7.100
'0:01.164',7.000
'0:01.165',6.600
'0:01.166',6.200
'0:01.167',5.900
'0:01.168',5.600
'0:01.169',5.400
'0:01.170',5.100
'0:01.171',4.800
'0:01.172',4.500
'0:01.173',4.000
'0:01.174',3.400
'0:01.175',2.800
'0:01.176',2.400
'0:01.177',2.300
'0:01.178',2.300
'0:01.179',2.300
'0:01.180',2.000
'0:01.181',1.500
'0:01.182',0.800
'0:01.183',0.100
'0:01.184',0.000
'0:01.185',0.400
'0:01.186',1.400
'0:01.187',2.700
'0:01.188',3.800
'0:01.189',4.500
'0:01.190',4.500
'0:01.191',4.100
'0:01.192',3.300
'0:01.193',2.600
'0:01.194',2.200
'0:01.195',2.000
'0:01.196',2.000
'0:01.197',2.000
'0:01.198',1.900
'0:01.199',1.500
'0:01.200',1.000
'0:01.201',0.500
'0:01.202',0.000
'0:01.203',-0.200
'0:01.204',0.100
'0:01.205',0.700
'0:01.206',1.800
'0:01.207',3.200
'0:01.208',4.500
'0:01.209',5.600
'0:01.210',6.200
'0:01.211',6.400
'0:01.212',6.600
'0:01.213',7.000
'0:01.214',7.600
'0:01.215',8.400
'0:01.216',8.900
'0:01.217',8.800
'0:01.218',8.100
'0:01.219',6.800
'0:01.220',5.400
'0:01.221',4.200
'0:01.222',3.300
'0:01.223',2.800
'0:01.224',2.400
'0:01.225',2.200
'0:01.226',2.000
'0:01.227',2.000
'0:01.228',2.100
'0:01.229',2.200
